module,problem,config_name,result_file,status,objective_value,solution_Z,runtime_pipeline,runtime_total,changed_count,changed_param_path,changed_param,base_value,param_value,config_file
candidate,micp2,candidate_min_far_candidates_1,output\param_comp\candidate\candidate_min_far_candidates_1__problem_micp_2.json,feasible,16069.392006,16069.392006,391.56448340415955,391.56448340415955,1,iterative_config.candidate_config.min_far_candidates,min_far_candidates,2,1,D:\codes\Python\CIC\config\candidate\candidate_min_far_candidates_1.json
candidate,micp2,candidate_min_far_candidates_4,output\param_comp\candidate\candidate_min_far_candidates_4__problem_micp_2.json,feasible,16069.392006,16069.392006,298.5059118270874,298.5059118270874,1,iterative_config.candidate_config.min_far_candidates,min_far_candidates,2,4,D:\codes\Python\CIC\config\candidate\candidate_min_far_candidates_4.json
candidate,micp2,candidate_min_hamming_distance_1,output\param_comp\candidate\candidate_min_hamming_distance_1__problem_micp_2.json,feasible,16069.392006,16069.392006,312.3718888759613,312.3718888759613,1,iterative_config.candidate_config.min_hamming_distance,min_hamming_distance,2,1,D:\codes\Python\CIC\config\candidate\candidate_min_hamming_distance_1.json
candidate,micp2,candidate_min_hamming_distance_3,output\param_comp\candidate\candidate_min_hamming_distance_3__problem_micp_2.json,feasible,16069.392006,16069.392006,338.02728486061096,338.02728486061096,1,iterative_config.candidate_config.min_hamming_distance,min_hamming_distance,2,3,D:\codes\Python\CIC\config\candidate\candidate_min_hamming_distance_3.json
candidate,micp2,candidate_objective_bonus_0.01,output\param_comp\candidate\candidate_objective_bonus_0.01__problem_micp_2.json,feasible,16069.392006,16069.392006,397.7752823829651,397.7752823829651,1,iterative_config.candidate_config.objective_bonus,objective_bonus,0.05,0.01,D:\codes\Python\CIC\config\candidate\candidate_objective_bonus_0.01.json
candidate,micp2,candidate_objective_bonus_0.1,output\param_comp\candidate\candidate_objective_bonus_0.1__problem_micp_2.json,feasible,16069.392006,16069.392006,444.43657755851746,444.43657755851746,1,iterative_config.candidate_config.objective_bonus,objective_bonus,0.05,0.1,D:\codes\Python\CIC\config\candidate\candidate_objective_bonus_0.1.json
candidate,micp2,candidate_top_k_12,output\param_comp\candidate\candidate_top_k_12__problem_micp_2.json,feasible,16069.392006,16069.392006,355.7946705818176,355.7946705818176,1,iterative_config.candidate_config.top_k,top_k,8,12,D:\codes\Python\CIC\config\candidate\candidate_top_k_12.json
candidate,micp2,candidate_top_k_4,output\param_comp\candidate\candidate_top_k_4__problem_micp_2.json,feasible,16069.392006,16069.392006,444.7400896549225,444.7400896549225,1,iterative_config.candidate_config.top_k,top_k,8,4,D:\codes\Python\CIC\config\candidate\candidate_top_k_4.json
local,micp2,local_max_iter_20,output\param_comp\local\local_max_iter_20__problem_micp_2.json,feasible,16069.392006,16069.392006,439.210401058197,439.210401058197,0,,,,,D:\codes\Python\CIC\config\local\local_max_iter_20.json
local,micp2,local_max_start_points_3,output\param_comp\local\local_max_start_points_3__problem_micp_2.json,feasible,16069.392006,16069.392006,313.96363043785095,313.96363043785095,0,,,,,D:\codes\Python\CIC\config\local\local_max_start_points_3.json
local,micp2,local_max_iter_10,output\param_comp\local\local_max_iter_10__problem_micp_2.json,feasible,16069.392006,16069.392006,444.65860891342163,444.65860891342163,1,iterative_config.local_refine_config.max_iter,max_iter,20,10,D:\codes\Python\CIC\config\local\local_max_iter_10.json
local,micp2,local_max_iter_50,output\param_comp\local\local_max_iter_50__problem_micp_2.json,feasible,16069.392006,16069.392006,375.85778999328613,375.85778999328613,1,iterative_config.local_refine_config.max_iter,max_iter,20,50,D:\codes\Python\CIC\config\local\local_max_iter_50.json
local,micp2,local_max_start_points_1,output\param_comp\local\local_max_start_points_1__problem_micp_2.json,feasible,16069.392006,16069.392006,330.8726041316986,330.8726041316986,1,iterative_config.local_refine_config.max_start_points,max_start_points,3,1,D:\codes\Python\CIC\config\local\local_max_start_points_1.json
local,micp2,local_max_start_points_5,output\param_comp\local\local_max_start_points_5__problem_micp_2.json,feasible,16069.392006,16069.392006,322.39833068847656,322.39833068847656,1,iterative_config.local_refine_config.max_start_points,max_start_points,3,5,D:\codes\Python\CIC\config\local\local_max_start_points_5.json
qaoa,micp2,"qaoa_beta_values_[0.2,0.5]","output\param_comp\qaoa\qaoa_beta_values_[0.2,0.5]__problem_micp_2.json",feasible,16069.392006,16069.392006,335.9805996417999,335.9805996417999,0,,,,,"D:\codes\Python\CIC\config\qaoa\qaoa_beta_values_[0.2,0.5].json"
qaoa,micp2,"qaoa_gamma_values_[0.2,0.5]","output\param_comp\qaoa\qaoa_gamma_values_[0.2,0.5]__problem_micp_2.json",feasible,16069.392006,16069.392006,349.87361907958984,349.87361907958984,0,,,,,"D:\codes\Python\CIC\config\qaoa\qaoa_gamma_values_[0.2,0.5].json"
qaoa,micp2,qaoa_p_1,output\param_comp\qaoa\qaoa_p_1__problem_micp_2.json,feasible,16069.392006,16069.392006,436.51211524009705,436.51211524009705,0,,,,,D:\codes\Python\CIC\config\qaoa\qaoa_p_1.json
qaoa,micp2,qaoa_shots_128,output\param_comp\qaoa\qaoa_shots_128__problem_micp_2.json,feasible,16069.392006,16069.392006,458.08051013946533,458.08051013946533,0,,,,,D:\codes\Python\CIC\config\qaoa\qaoa_shots_128.json
qaoa,micp2,"qaoa_beta_values_[0.1,0.3]","output\param_comp\qaoa\qaoa_beta_values_[0.1,0.3]__problem_micp_2.json",feasible,16069.392006,16069.392006,318.2766230106354,318.2766230106354,1,quantum_config.qaoa_config.beta_values,beta_values,"[0.2, 0.5]","[0.1, 0.3]","D:\codes\Python\CIC\config\qaoa\qaoa_beta_values_[0.1,0.3].json"
qaoa,micp2,"qaoa_beta_values_[0.5,1.0]","output\param_comp\qaoa\qaoa_beta_values_[0.5,1.0]__problem_micp_2.json",feasible,16069.392006,16069.392006,325.5617434978485,325.5617434978485,1,quantum_config.qaoa_config.beta_values,beta_values,"[0.2, 0.5]","[0.5, 1.0]","D:\codes\Python\CIC\config\qaoa\qaoa_beta_values_[0.5,1.0].json"
qaoa,micp2,"qaoa_gamma_values_[0.1,0.3]","output\param_comp\qaoa\qaoa_gamma_values_[0.1,0.3]__problem_micp_2.json",feasible,16069.392006,16069.392006,497.1483941078186,497.1483941078186,1,quantum_config.qaoa_config.gamma_values,gamma_values,"[0.2, 0.5]","[0.1, 0.3]","D:\codes\Python\CIC\config\qaoa\qaoa_gamma_values_[0.1,0.3].json"
qaoa,micp2,"qaoa_gamma_values_[0.5,1.0]","output\param_comp\qaoa\qaoa_gamma_values_[0.5,1.0]__problem_micp_2.json",feasible,16069.392006,16069.392006,443.8631751537323,443.8631751537323,1,quantum_config.qaoa_config.gamma_values,gamma_values,"[0.2, 0.5]","[0.5, 1.0]","D:\codes\Python\CIC\config\qaoa\qaoa_gamma_values_[0.5,1.0].json"
qaoa,micp2,qaoa_p_2,output\param_comp\qaoa\qaoa_p_2__problem_micp_2.json,feasible,16069.392006,16069.392006,475.9451148509979,475.9451148509979,1,quantum_config.qaoa_config.p,p,1,2,D:\codes\Python\CIC\config\qaoa\qaoa_p_2.json
qaoa,micp2,qaoa_shots_256,output\param_comp\qaoa\qaoa_shots_256__problem_micp_2.json,feasible,16069.392006,16069.392006,561.8045399188995,561.8045399188995,1,quantum_config.qaoa_config.shots,shots,128,256,D:\codes\Python\CIC\config\qaoa\qaoa_shots_256.json
qaoa,micp2,qaoa_shots_64,output\param_comp\qaoa\qaoa_shots_64__problem_micp_2.json,feasible,16069.392006,16069.392006,463.2810297012329,463.2810297012329,1,quantum_config.qaoa_config.shots,shots,128,64,D:\codes\Python\CIC\config\qaoa\qaoa_shots_64.json
qubo,micp2,qubo_elite_weight_0.5,output\param_comp\qubo\qubo_elite_weight_0.5__problem_micp_2.json,feasible,16069.392006,16069.392006,399.6684365272522,399.6684365272522,0,,,,,D:\codes\Python\CIC\config\qubo\qubo_elite_weight_0.5.json
qubo,micp2,qubo_exploration_boost_0.5,output\param_comp\qubo\qubo_exploration_boost_0.5__problem_micp_2.json,feasible,16069.392006,16069.392006,354.01965856552124,354.01965856552124,0,,,,,D:\codes\Python\CIC\config\qubo\qubo_exploration_boost_0.5.json
qubo,micp2,qubo_hamming_penalty_1.5,output\param_comp\qubo\qubo_hamming_penalty_1.5__problem_micp_2.json,feasible,16069.392006,16069.392006,440.57330083847046,440.57330083847046,0,,,,,D:\codes\Python\CIC\config\qubo\qubo_hamming_penalty_1.5.json
qubo,micp2,qubo_resource_penalty_10.0,output\param_comp\qubo\qubo_resource_penalty_10.0__problem_micp_2.json,feasible,16069.392006,16069.392006,551.0544345378876,551.0544345378876,0,,,,,D:\codes\Python\CIC\config\qubo\qubo_resource_penalty_10.0.json
qubo,micp2,qubo_tabu_penalty_5.0,output\param_comp\qubo\qubo_tabu_penalty_5.0__problem_micp_2.json,feasible,16069.392006,16069.392006,417.14967107772827,417.14967107772827,0,,,,,D:\codes\Python\CIC\config\qubo\qubo_tabu_penalty_5.0.json
qubo,micp2,qubo_elite_weight_0.2,output\param_comp\qubo\qubo_elite_weight_0.2__problem_micp_2.json,feasible,16069.392006,16069.392006,289.5219032764435,289.5223779678345,1,quantum_config.qubo_config.elite_weight,elite_weight,0.5,0.2,D:\codes\Python\CIC\config\qubo\qubo_elite_weight_0.2.json
qubo,micp2,qubo_elite_weight_1.0,output\param_comp\qubo\qubo_elite_weight_1.0__problem_micp_2.json,feasible,16069.392006,16069.392006,313.5492293834686,313.5492293834686,1,quantum_config.qubo_config.elite_weight,elite_weight,0.5,1,D:\codes\Python\CIC\config\qubo\qubo_elite_weight_1.0.json
qubo,micp2,qubo_exploration_boost_0.2,output\param_comp\qubo\qubo_exploration_boost_0.2__problem_micp_2.json,feasible,16069.392006,16069.392006,403.386798620224,403.386798620224,1,quantum_config.qubo_config.exploration_boost,exploration_boost,0.5,0.2,D:\codes\Python\CIC\config\qubo\qubo_exploration_boost_0.2.json
qubo,micp2,qubo_exploration_boost_1.0,output\param_comp\qubo\qubo_exploration_boost_1.0__problem_micp_2.json,feasible,16069.392006,16069.392006,423.19431161880493,423.19431161880493,1,quantum_config.qubo_config.exploration_boost,exploration_boost,0.5,1,D:\codes\Python\CIC\config\qubo\qubo_exploration_boost_1.0.json
qubo,micp2,qubo_hamming_penalty_0.5,output\param_comp\qubo\qubo_hamming_penalty_0.5__problem_micp_2.json,feasible,16069.392006,16069.392006,436.59081077575684,436.59081077575684,1,quantum_config.qubo_config.hamming_penalty,hamming_penalty,1.5,0.5,D:\codes\Python\CIC\config\qubo\qubo_hamming_penalty_0.5.json
qubo,micp2,qubo_hamming_penalty_3.0,output\param_comp\qubo\qubo_hamming_penalty_3.0__problem_micp_2.json,feasible,16069.392006,16069.392006,395.8804738521576,395.8804738521576,1,quantum_config.qubo_config.hamming_penalty,hamming_penalty,1.5,3,D:\codes\Python\CIC\config\qubo\qubo_hamming_penalty_3.0.json
qubo,micp2,qubo_resource_penalty_20.0,output\param_comp\qubo\qubo_resource_penalty_20.0__problem_micp_2.json,feasible,16069.392006,16069.392006,447.58579754829407,447.58579754829407,1,quantum_config.qubo_config.resource_penalty,resource_penalty,10,20,D:\codes\Python\CIC\config\qubo\qubo_resource_penalty_20.0.json
qubo,micp2,qubo_resource_penalty_5.0,output\param_comp\qubo\qubo_resource_penalty_5.0__problem_micp_2.json,feasible,16069.392006,16069.392006,477.79725337028503,477.79725337028503,1,quantum_config.qubo_config.resource_penalty,resource_penalty,10,5,D:\codes\Python\CIC\config\qubo\qubo_resource_penalty_5.0.json
qubo,micp2,qubo_tabu_penalty_10.0,output\param_comp\qubo\qubo_tabu_penalty_10.0__problem_micp_2.json,feasible,16069.392006,16069.392006,442.15038561820984,442.15038561820984,1,quantum_config.qubo_config.tabu_penalty,tabu_penalty,5,10,D:\codes\Python\CIC\config\qubo\qubo_tabu_penalty_10.0.json
qubo,micp2,qubo_tabu_penalty_2.0,output\param_comp\qubo\qubo_tabu_penalty_2.0__problem_micp_2.json,feasible,16069.392006,16069.392006,540.9391596317291,540.9391596317291,1,quantum_config.qubo_config.tabu_penalty,tabu_penalty,5,2,D:\codes\Python\CIC\config\qubo\qubo_tabu_penalty_2.0.json
bias,milp1,bias_elite_reward_step_0.05,output\param_comp\bias\bias_elite_reward_step_0.05__problem_milp_1.json,feasible,6325.0,6325.0,0.07514572143554688,0.07514572143554688,0,,,,,D:\codes\Python\CIC\config\bias\bias_elite_reward_step_0.05.json
bias,milp1,bias_pair_penalty_step_0.15,output\param_comp\bias\bias_pair_penalty_step_0.15__problem_milp_1.json,feasible,6325.0,6325.0,0.0695958137512207,0.0695958137512207,0,,,,,D:\codes\Python\CIC\config\bias\bias_pair_penalty_step_0.15.json
bias,milp1,bias_penalty_step_0.2,output\param_comp\bias\bias_penalty_step_0.2__problem_milp_1.json,feasible,6325.0,6325.0,0.07117462158203125,0.07117462158203125,0,,,,,D:\codes\Python\CIC\config\bias\bias_penalty_step_0.2.json
bias,milp1,bias_reward_step_0.1,output\param_comp\bias\bias_reward_step_0.1__problem_milp_1.json,feasible,6325.0,6325.0,0.07359743118286133,0.07359743118286133,0,,,,,D:\codes\Python\CIC\config\bias\bias_reward_step_0.1.json
bias,milp1,bias_elite_reward_step_0.02,output\param_comp\bias\bias_elite_reward_step_0.02__problem_milp_1.json,feasible,6325.0,6325.0,0.09068751335144043,0.09068751335144043,1,iterative_config.bias_update_config.elite_reward_step,elite_reward_step,0.05,0.02,D:\codes\Python\CIC\config\bias\bias_elite_reward_step_0.02.json
bias,milp1,bias_elite_reward_step_0.1,output\param_comp\bias\bias_elite_reward_step_0.1__problem_milp_1.json,feasible,6325.0,6325.0,0.08427047729492188,0.08427047729492188,1,iterative_config.bias_update_config.elite_reward_step,elite_reward_step,0.05,0.1,D:\codes\Python\CIC\config\bias\bias_elite_reward_step_0.1.json
bias,milp1,bias_pair_penalty_step_0.1,output\param_comp\bias\bias_pair_penalty_step_0.1__problem_milp_1.json,feasible,6325.0,6325.0,0.0987555980682373,0.0987555980682373,1,iterative_config.bias_update_config.pair_penalty_step,pair_penalty_step,0.15,0.1,D:\codes\Python\CIC\config\bias\bias_pair_penalty_step_0.1.json
bias,milp1,bias_pair_penalty_step_0.3,output\param_comp\bias\bias_pair_penalty_step_0.3__problem_milp_1.json,feasible,6325.0,6325.0,0.07172417640686035,0.07172417640686035,1,iterative_config.bias_update_config.pair_penalty_step,pair_penalty_step,0.15,0.3,D:\codes\Python\CIC\config\bias\bias_pair_penalty_step_0.3.json
bias,milp1,bias_penalty_step_0.1,output\param_comp\bias\bias_penalty_step_0.1__problem_milp_1.json,feasible,6325.0,6325.0,0.06763219833374023,0.06763219833374023,1,iterative_config.bias_update_config.penalty_step,penalty_step,0.2,0.1,D:\codes\Python\CIC\config\bias\bias_penalty_step_0.1.json
bias,milp1,bias_penalty_step_0.3,output\param_comp\bias\bias_penalty_step_0.3__problem_milp_1.json,feasible,6325.0,6325.0,0.07813429832458496,0.07813429832458496,1,iterative_config.bias_update_config.penalty_step,penalty_step,0.2,0.3,D:\codes\Python\CIC\config\bias\bias_penalty_step_0.3.json
bias,milp1,bias_reward_step_0.05,output\param_comp\bias\bias_reward_step_0.05__problem_milp_1.json,feasible,6325.0,6325.0,0.06698894500732422,0.06698894500732422,1,iterative_config.bias_update_config.reward_step,reward_step,0.1,0.05,D:\codes\Python\CIC\config\bias\bias_reward_step_0.05.json
bias,milp1,bias_reward_step_0.2,output\param_comp\bias\bias_reward_step_0.2__problem_milp_1.json,feasible,6325.0,6325.0,0.07210111618041992,0.07210111618041992,1,iterative_config.bias_update_config.reward_step,reward_step,0.1,0.2,D:\codes\Python\CIC\config\bias\bias_reward_step_0.2.json
candidate,milp1,candidate_far_bonus_0.02,output\param_comp\candidate\candidate_far_bonus_0.02__problem_milp_1.json,feasible,6325.0,6325.0,0.08456707000732422,0.08456707000732422,0,,,,,D:\codes\Python\CIC\config\candidate\candidate_far_bonus_0.02.json
candidate,milp1,candidate_min_far_candidates_2,output\param_comp\candidate\candidate_min_far_candidates_2__problem_milp_1.json,feasible,6325.0,6325.0,0.07110762596130371,0.07110762596130371,0,,,,,D:\codes\Python\CIC\config\candidate\candidate_min_far_candidates_2.json
candidate,milp1,candidate_min_hamming_distance_2,output\param_comp\candidate\candidate_min_hamming_distance_2__problem_milp_1.json,feasible,6325.0,6325.0,0.07007861137390137,0.07007861137390137,0,,,,,D:\codes\Python\CIC\config\candidate\candidate_min_hamming_distance_2.json
candidate,milp1,candidate_objective_bonus_0.05,output\param_comp\candidate\candidate_objective_bonus_0.05__problem_milp_1.json,feasible,6325.0,6325.0,0.07837677001953125,0.07837677001953125,0,,,,,D:\codes\Python\CIC\config\candidate\candidate_objective_bonus_0.05.json
candidate,milp1,candidate_top_k_8,output\param_comp\candidate\candidate_top_k_8__problem_milp_1.json,feasible,6325.0,6325.0,0.08015966415405273,0.08015966415405273,0,,,,,D:\codes\Python\CIC\config\candidate\candidate_top_k_8.json
candidate,milp1,candidate_far_bonus_0.0,output\param_comp\candidate\candidate_far_bonus_0.0__problem_milp_1.json,feasible,6325.0,6325.0,0.07457709312438965,0.07457709312438965,1,iterative_config.candidate_config.far_bonus,far_bonus,0.02,0,D:\codes\Python\CIC\config\candidate\candidate_far_bonus_0.0.json
candidate,milp1,candidate_far_bonus_0.05,output\param_comp\candidate\candidate_far_bonus_0.05__problem_milp_1.json,feasible,6325.0,6325.0,0.0682680606842041,0.0682680606842041,1,iterative_config.candidate_config.far_bonus,far_bonus,0.02,0.05,D:\codes\Python\CIC\config\candidate\candidate_far_bonus_0.05.json
candidate,milp1,candidate_min_far_candidates_1,output\param_comp\candidate\candidate_min_far_candidates_1__problem_milp_1.json,feasible,6325.0,6325.0,0.06777024269104004,0.06777024269104004,1,iterative_config.candidate_config.min_far_candidates,min_far_candidates,2,1,D:\codes\Python\CIC\config\candidate\candidate_min_far_candidates_1.json
candidate,milp1,candidate_min_far_candidates_4,output\param_comp\candidate\candidate_min_far_candidates_4__problem_milp_1.json,feasible,6325.0,6325.0,0.06760931015014648,0.06760931015014648,1,iterative_config.candidate_config.min_far_candidates,min_far_candidates,2,4,D:\codes\Python\CIC\config\candidate\candidate_min_far_candidates_4.json
candidate,milp1,candidate_min_hamming_distance_1,output\param_comp\candidate\candidate_min_hamming_distance_1__problem_milp_1.json,feasible,6325.0,6325.0,0.0670773983001709,0.0670773983001709,1,iterative_config.candidate_config.min_hamming_distance,min_hamming_distance,2,1,D:\codes\Python\CIC\config\candidate\candidate_min_hamming_distance_1.json
candidate,milp1,candidate_min_hamming_distance_3,output\param_comp\candidate\candidate_min_hamming_distance_3__problem_milp_1.json,feasible,6325.0,6325.0,0.07737874984741211,0.07737874984741211,1,iterative_config.candidate_config.min_hamming_distance,min_hamming_distance,2,3,D:\codes\Python\CIC\config\candidate\candidate_min_hamming_distance_3.json
candidate,milp1,candidate_objective_bonus_0.01,output\param_comp\candidate\candidate_objective_bonus_0.01__problem_milp_1.json,feasible,6325.0,6325.0,0.07359099388122559,0.07359099388122559,1,iterative_config.candidate_config.objective_bonus,objective_bonus,0.05,0.01,D:\codes\Python\CIC\config\candidate\candidate_objective_bonus_0.01.json
candidate,milp1,candidate_objective_bonus_0.1,output\param_comp\candidate\candidate_objective_bonus_0.1__problem_milp_1.json,feasible,6325.0,6325.0,0.08992886543273926,0.08992886543273926,1,iterative_config.candidate_config.objective_bonus,objective_bonus,0.05,0.1,D:\codes\Python\CIC\config\candidate\candidate_objective_bonus_0.1.json
candidate,milp1,candidate_top_k_12,output\param_comp\candidate\candidate_top_k_12__problem_milp_1.json,feasible,6325.0,6325.0,0.08410811424255371,0.08410811424255371,1,iterative_config.candidate_config.top_k,top_k,8,12,D:\codes\Python\CIC\config\candidate\candidate_top_k_12.json
candidate,milp1,candidate_top_k_4,output\param_comp\candidate\candidate_top_k_4__problem_milp_1.json,feasible,6325.0,6325.0,0.08657693862915039,0.08657693862915039,1,iterative_config.candidate_config.top_k,top_k,8,4,D:\codes\Python\CIC\config\candidate\candidate_top_k_4.json
local,milp1,local_max_iter_20,output\param_comp\local\local_max_iter_20__problem_milp_1.json,feasible,6325.0,6325.0,0.0725867748260498,0.0725867748260498,0,,,,,D:\codes\Python\CIC\config\local\local_max_iter_20.json
local,milp1,local_max_start_points_3,output\param_comp\local\local_max_start_points_3__problem_milp_1.json,feasible,6325.0,6325.0,0.07165384292602539,0.07165384292602539,0,,,,,D:\codes\Python\CIC\config\local\local_max_start_points_3.json
local,milp1,local_max_iter_10,output\param_comp\local\local_max_iter_10__problem_milp_1.json,feasible,6325.0,6325.0,0.09197473526000977,0.09197473526000977,1,iterative_config.local_refine_config.max_iter,max_iter,20,10,D:\codes\Python\CIC\config\local\local_max_iter_10.json
local,milp1,local_max_iter_50,output\param_comp\local\local_max_iter_50__problem_milp_1.json,feasible,6325.0,6325.0,0.0725858211517334,0.0725858211517334,1,iterative_config.local_refine_config.max_iter,max_iter,20,50,D:\codes\Python\CIC\config\local\local_max_iter_50.json
local,milp1,local_max_start_points_1,output\param_comp\local\local_max_start_points_1__problem_milp_1.json,feasible,6325.0,6325.0,0.07123899459838867,0.07123899459838867,1,iterative_config.local_refine_config.max_start_points,max_start_points,3,1,D:\codes\Python\CIC\config\local\local_max_start_points_1.json
local,milp1,local_max_start_points_5,output\param_comp\local\local_max_start_points_5__problem_milp_1.json,feasible,6325.0,6325.0,0.0859222412109375,0.0859222412109375,1,iterative_config.local_refine_config.max_start_points,max_start_points,3,5,D:\codes\Python\CIC\config\local\local_max_start_points_5.json
qaoa,milp1,"qaoa_beta_values_[0.2,0.5]","output\param_comp\qaoa\qaoa_beta_values_[0.2,0.5]__problem_milp_1.json",feasible,6325.0,6325.0,0.07352852821350098,0.07352852821350098,0,,,,,"D:\codes\Python\CIC\config\qaoa\qaoa_beta_values_[0.2,0.5].json"
qaoa,milp1,"qaoa_gamma_values_[0.2,0.5]","output\param_comp\qaoa\qaoa_gamma_values_[0.2,0.5]__problem_milp_1.json",feasible,6325.0,6325.0,0.06891512870788574,0.06891512870788574,0,,,,,"D:\codes\Python\CIC\config\qaoa\qaoa_gamma_values_[0.2,0.5].json"
qaoa,milp1,qaoa_p_1,output\param_comp\qaoa\qaoa_p_1__problem_milp_1.json,feasible,6325.0,6325.0,0.08357882499694824,0.08357882499694824,0,,,,,D:\codes\Python\CIC\config\qaoa\qaoa_p_1.json
qaoa,milp1,qaoa_shots_128,output\param_comp\qaoa\qaoa_shots_128__problem_milp_1.json,feasible,6325.0,6325.0,0.09496426582336426,0.09496426582336426,0,,,,,D:\codes\Python\CIC\config\qaoa\qaoa_shots_128.json
qaoa,milp1,"qaoa_beta_values_[0.1,0.3]","output\param_comp\qaoa\qaoa_beta_values_[0.1,0.3]__problem_milp_1.json",feasible,6325.0,6325.0,0.08148479461669922,0.08148479461669922,1,quantum_config.qaoa_config.beta_values,beta_values,"[0.2, 0.5]","[0.1, 0.3]","D:\codes\Python\CIC\config\qaoa\qaoa_beta_values_[0.1,0.3].json"
qaoa,milp1,"qaoa_beta_values_[0.5,1.0]","output\param_comp\qaoa\qaoa_beta_values_[0.5,1.0]__problem_milp_1.json",feasible,6325.0,6325.0,0.0692143440246582,0.0692143440246582,1,quantum_config.qaoa_config.beta_values,beta_values,"[0.2, 0.5]","[0.5, 1.0]","D:\codes\Python\CIC\config\qaoa\qaoa_beta_values_[0.5,1.0].json"
